diff,mean
519.5741071360042,519.5741071360042
525.1749526195628,522.3745298777835
513.5854531133006,519.4448376229558
517.7977210468011,519.0330584789172
516.0523852643994,518.4369238360135
524.1276026348954,519.3853703024939
528.1620715069629,520.6391847602752
521.0651790941441,520.6924340520088
518.5778280579649,520.4574778304484
523.0864668750863,520.7203767349122
513.5634703793435,520.069748884406
522.2566223579006,520.2519883405305
523.4088610340932,520.4948247015737
516.9925668550048,520.2446634268189
522.345894158779,520.3847454756162
515.2363975463005,520.062973730034
513.0004773783529,519.6475327681703
522.0965565470688,519.7835896447758
521.0041649002407,519.8478304476951
513.505335636081,519.5307057071143
517.5365005023506,519.4357435545065
522.482661518134,519.5742398255805
513.8797497877694,519.3266533021974
517.218959026437,519.2388327073741
516.2782145973769,519.1204079829741
517.5497588980796,519.0599984027859
521.8530855128225,519.163446073528
517.769510427176,519.1136626575868
529.9279751817778,519.4865699860072
509.84970601081704,519.1653411868342
528.0503710122119,519.451955052169
512.6344425457056,519.238907786342
547.0870079468133,520.0827896093866
515.6467797070187,519.9523187299052
525.3358067343978,520.1061326728907
511.1590800927762,519.8576034345542
517.6063923007223,519.7967598903965
553.1323098183393,520.6740112042897
514.2339624806744,520.5088817498381
517.5989997724988,520.4361347004045
527.3670840056653,520.6051822444354
511.666649484564,520.3923600358669
518.9898352564124,520.3597431805308
516.4667725134697,520.2712665744613
525.4742493300555,520.3868884134744
517.0374525203317,520.3140745897105
515.1815725829603,520.2048724193542
510.80516116024444,520.0090451014561
526.4841493471263,520.1411900860616
513.6594342393498,520.0115549691274
516.47166224797,519.9421453079282
537.3236008548278,520.2764040684453
522.8905999932205,520.3257285198563
511.9471107168886,520.1705689309124
524.2920448399574,520.2455048565314
514.5917457398388,520.1445448723048
529.8414280098799,520.3146656291043
514.1824964176938,520.2089385737352
527.5904294618392,520.3340485887877
520.940350764011,520.3441536250415
532.6744793466963,520.5462901122818
511.34730512988483,520.3979193867592
516.0994262072073,520.3296893362902
529.202108535366,520.4683208862757
518.4687151264066,520.4375577207393
527.8362966791573,520.5496598261698
512.0648045056678,520.4230201945205
512.9185023387995,520.3126596378187
517.3570678926402,520.269824974845
519.8523391759876,520.2638608920042
514.6507463917206,520.1848029412961
516.2780511758247,520.130542500109
545.8906642981834,520.4834208809045
514.6103804943363,520.4040554702751
516.0169883781991,520.3455612423809
510.7913279767431,520.2198476467804
518.3737687562137,520.1958725962536
516.598501401789,520.1497524527348
514.6433556658797,520.0800512275847
522.8107576736891,520.114185058161
541.183003431131,520.3742939269631
516.1014239531398,520.3221857565507
518.3570417025928,520.2985093221656
516.2080847183745,520.2498137911681
519.4425462640152,520.2403165261427
519.6884033150258,520.2338989306646
529.6835612907994,520.3425157394017
532.2110506596293,520.4773854544044
521.6547356874689,520.4906141087084
521.6041472285312,520.5029866989287
522.815913230111,520.5284034739966
519.513817960835,520.5173753705926
525.5712332570524,520.5717179285116
515.8673897317462,520.5216718838651
517.0081589254287,520.4846875369342
522.0190113896806,520.500670077067
532.7477246615395,520.6269283717522
519.2560570763919,520.6129398891466
521.4414521661913,520.6213087000257
521.5970815943485,520.631066428969
514.499424384635,520.5703571017974
520.1151607339282,520.5658943923085
517.4070019719452,520.5352255338584
514.2288499659786,520.4745873072441
512.3633467131289,520.3973373968239
519.6888690065839,520.390653732765
509.48148618700486,520.2886988958888
513.0506025488386,520.2216794852679
516.5070190766945,520.1876000319783
516.172112088123,520.1510955961251
514.9443937814402,520.1041883725694
524.254271193378,520.1412426834694
511.2732709247723,520.0627650572862
514.5965338677893,520.0148156608872
520.4992668431983,520.0190282798638
519.4186352395841,520.0138524777924
514.828248609778,519.9695310772112
513.2437068831897,519.9125325670923
524.8711997135838,519.9542020389116
523.4571038088268,519.9833928869942
519.4273810807855,519.9787977481
529.0696294591401,520.0533127621248
522.7720453634809,520.0754162792091
530.2382852475492,520.1573748999215
520.3398567705932,520.1588347548868
513.8948834019723,520.1091208552606
516.3450490412991,520.0794824945207
515.6102797816895,520.0445668483267
515.904903452291,520.0124764344039
519.6567234094317,520.0097398726733
513.3058761462357,519.9585653404104
534.1078998958645,520.0657572688608
514.7341589450004,520.0256700634183
518.1914306150028,520.0119817093255
520.5496648529536,520.0159645474265
526.529460222681,520.0638578979798
