"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","t"
"22720","29/02/2020",29,2,2020,909,3,"South_Korea","KR","KOR",51225321,"Asia",2020-02-29
"22719","01/03/2020",1,3,2020,595,1,"South_Korea","KR","KOR",51225321,"Asia",2020-03-01
"22718","02/03/2020",2,3,2020,686,5,"South_Korea","KR","KOR",51225321,"Asia",2020-03-02
"22717","03/03/2020",3,3,2020,600,6,"South_Korea","KR","KOR",51225321,"Asia",2020-03-03
"22716","04/03/2020",4,3,2020,516,4,"South_Korea","KR","KOR",51225321,"Asia",2020-03-04
"22715","05/03/2020",5,3,2020,438,3,"South_Korea","KR","KOR",51225321,"Asia",2020-03-05
"22714","06/03/2020",6,3,2020,518,7,"South_Korea","KR","KOR",51225321,"Asia",2020-03-06
"22713","07/03/2020",7,3,2020,483,2,"South_Korea","KR","KOR",51225321,"Asia",2020-03-07
"22712","08/03/2020",8,3,2020,367,6,"South_Korea","KR","KOR",51225321,"Asia",2020-03-08
"22711","09/03/2020",9,3,2020,248,1,"South_Korea","KR","KOR",51225321,"Asia",2020-03-09
"22710","10/03/2020",10,3,2020,131,3,"South_Korea","KR","KOR",51225321,"Asia",2020-03-10
"22709","11/03/2020",11,3,2020,242,6,"South_Korea","KR","KOR",51225321,"Asia",2020-03-11
"22708","12/03/2020",12,3,2020,114,6,"South_Korea","KR","KOR",51225321,"Asia",2020-03-12
"22707","13/03/2020",13,3,2020,110,1,"South_Korea","KR","KOR",51225321,"Asia",2020-03-13
"22706","14/03/2020",14,3,2020,107,5,"South_Korea","KR","KOR",51225321,"Asia",2020-03-14
"22705","15/03/2020",15,3,2020,76,3,"South_Korea","KR","KOR",51225321,"Asia",2020-03-15
"22704","16/03/2020",16,3,2020,74,0,"South_Korea","KR","KOR",51225321,"Asia",2020-03-16
"22703","17/03/2020",17,3,2020,84,6,"South_Korea","KR","KOR",51225321,"Asia",2020-03-17
"22702","18/03/2020",18,3,2020,93,5,"South_Korea","KR","KOR",51225321,"Asia",2020-03-18
"22701","19/03/2020",19,3,2020,152,5,"South_Korea","KR","KOR",51225321,"Asia",2020-03-19
"22700","20/03/2020",20,3,2020,87,9,"South_Korea","KR","KOR",51225321,"Asia",2020-03-20
"22699","21/03/2020",21,3,2020,147,3,"South_Korea","KR","KOR",51225321,"Asia",2020-03-21
"22698","22/03/2020",22,3,2020,98,1,"South_Korea","KR","KOR",51225321,"Asia",2020-03-22
"22697","23/03/2020",23,3,2020,64,9,"South_Korea","KR","KOR",51225321,"Asia",2020-03-23
"22696","24/03/2020",24,3,2020,76,7,"South_Korea","KR","KOR",51225321,"Asia",2020-03-24
"22695","25/03/2020",25,3,2020,100,6,"South_Korea","KR","KOR",51225321,"Asia",2020-03-25
"22694","26/03/2020",26,3,2020,104,5,"South_Korea","KR","KOR",51225321,"Asia",2020-03-26
"22693","27/03/2020",27,3,2020,91,8,"South_Korea","KR","KOR",51225321,"Asia",2020-03-27
"22692","28/03/2020",28,3,2020,146,5,"South_Korea","KR","KOR",51225321,"Asia",2020-03-28
"22691","29/03/2020",29,3,2020,105,8,"South_Korea","KR","KOR",51225321,"Asia",2020-03-29
"22690","30/03/2020",30,3,2020,78,6,"South_Korea","KR","KOR",51225321,"Asia",2020-03-30
"22689","31/03/2020",31,3,2020,125,5,"South_Korea","KR","KOR",51225321,"Asia",2020-03-31
"22688","01/04/2020",1,4,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-04-01
"22687","02/04/2020",2,4,2020,190,6,"South_Korea","KR","KOR",51225321,"Asia",2020-04-02
"22686","03/04/2020",3,4,2020,86,5,"South_Korea","KR","KOR",51225321,"Asia",2020-04-03
"22685","04/04/2020",4,4,2020,94,3,"South_Korea","KR","KOR",51225321,"Asia",2020-04-04
