diff,mean
377.673334999659,377.673334999659
383.6845877107555,380.67896135520726
376.77535745339253,379.37776005460233
373.72957130025225,377.9657128660148
369.15735358268887,376.2040410093497
377.1202647614166,376.3567449680275
371.03513215239207,375.5965145657939
378.04533830186904,375.9026175328033
375.7738253347022,375.8883072885698
370.7123735775864,375.37071391747145
375.9309929734859,375.42164837710914
374.34196436219736,375.33167470919983
382.0458888399336,375.84815271925623
374.7796365620493,375.7718301365986
370.57466878410605,375.42535271309913
375.16713909896293,375.4092143622156
387.7349016881758,376.13425479315447
374.1404433776221,376.02348749229157
384.5578274374692,376.4726632788799
368.2823638734137,376.06314830860657
378.68742288654516,376.18811376469887
368.43347983643525,375.83563040432324
382.5030650214517,376.1255188659375
370.5151977057933,375.8917554842649
370.61222060498517,375.68057408909374
378.22027821235065,375.7782550169113
385.08636297615726,376.12299975614263
376.0209116323973,376.11935375172317
376.41708303134783,376.1296202786068
377.4202279164306,376.17264053320093
375.90648071184387,376.164054732512
379.49198513365627,376.2680525575478
375.80218066293446,376.25393522740796
366.34391396903004,375.9624640139263
372.52266575696444,375.8641840637274
380.55904630480006,375.99459690375716
372.1008438687654,375.88936033524385
386.9448607598307,376.1802945569436
379.3587118411607,376.26179243602604
373.3932998678878,376.19008012182263
371.20708235316465,376.06854359087976
380.6839664921521,376.1784346123386
375.0830948109524,376.1529615937017
375.4966231740915,376.13804481143785
381.0770658647531,376.2478008348449
368.7756423712682,376.08536260737577
371.31421107793244,375.9838487450472
376.09233427052084,375.98610886016127
376.5339696339213,375.9972896922788
370.3859832545253,375.8850635635237
372.0167326942677,375.8092139386364
379.8236500376937,375.88641463284904
381.0158485353244,375.98319640459385
371.92890003190746,375.9081168421367
376.0843766092062,375.9113215651743
376.80638074980175,375.9273047648998
379.13627996105663,375.9836025753587
378.3294717352635,376.02404859535704
372.5146932178683,375.9645679957386
377.66297242284054,375.9928747361903
380.34052361354566,376.0641476686059
377.2767085724538,376.083705102539
382.87056364580974,376.19143301592425
370.7370519131307,376.1062083111931
376.5996000603028,376.1137989534871
376.75688351457643,376.1235426589582
385.2448017694254,376.25968085463677
376.20484214387966,376.258874403008
367.40514584437494,376.1305594963612
373.1826742324761,376.0884468497343
372.9502670550778,376.0442471343166
381.7183730218412,376.12305443830996
385.8606232855649,376.25644579238195
370.2315009565134,376.1750276189243
375.55317829265095,376.166736294574
374.3948903827104,376.1434225325758
373.8308112943439,376.113388620391
379.59721192707866,376.15805302175875
375.0207157177673,376.14365634702466
377.0632305509571,376.15515102457385
371.7679115361136,376.100987574099
371.97978610167945,376.0507290195573
374.912113180613,376.0370107564375
375.3766231869704,376.0291489996581
368.38512680492545,375.9392193267789
383.0615946785348,376.0220376448226
374.273238549123,376.00193650579155
375.1521875768324,375.9922802679625
374.93066633389856,375.9803520215124
376.7257812277471,375.9886345682483
375.1333632381745,375.97923598220353
371.6666500242628,375.9323600478781
370.629141181082,375.8753361890953
381.14033786305527,375.9313468452013
372.03210479069935,375.890302191996
375.13515832914754,375.8824361100913
372.9343608364609,375.8520435814972
373.7587190089539,375.8306831266753
376.05719821280286,375.8329711578483
376.15787969633743,375.8362202432332
365.9526705137861,375.7383633152188
373.5067905339239,375.7164851506963
371.84176250317387,375.6788664842155
370.03053331879414,375.6245555883942
391.84200331842135,375.7790074715373
373.7010302757087,375.7594039130861
372.3867124048544,375.7278834317008
374.836709036088,375.71963181692655
376.48014752059896,375.7266090252171
378.40047751116583,375.75091692054394
376.9522702912516,375.7617399238836
373.0678237855093,375.7376871012196
372.27844766374164,375.70707436283476
370.4599222560124,375.661046712775
373.6291342528889,375.6433779087759
378.98310551115253,375.6721686639688
371.7745713757553,375.6388558666336
370.8470986840166,375.59824775491654
373.21994979898534,375.5782620578079
374.82475406808646,375.5719828245602
374.3149859102381,375.5615944203097
375.82350831241297,375.56374125549087
376.09261643331706,375.56804105368457
372.99850294850967,375.5473189721912
368.9958685903292,375.4949073691363
379.2507526628225,375.5247156651179
374.42572273113194,375.51606217744876
372.2893613851668,375.4908535775091
371.24612698920373,375.4579487202354
377.1620804420834,375.47105742578805
368.73513213990316,375.41963814879654
381.9651678681405,375.46922549515523
381.9423880474144,375.517895890285
373.39583526488445,375.5020596169611
376.9424299819261,375.512729027072
367.3527998232314,375.452729547632
371.6870733159777,375.4252430057951
374.4413475095163,375.4181133282858
371.0410334062698,375.3866235446742
370.5323812125505,375.351950385159
371.8851272506914,375.32736298704225
367.1175510332133,375.2695474099026
375.9307661808091,375.27417131739145
376.1196248106305,375.2800425222056
374.5970774380636,375.275332418177
375.55413506812397,375.2772420253684
373.92075295025325,375.26801420853093
376.2875081756148,375.2749026812815
379.32672126788805,375.30209609461446
381.6980455089745,375.34473575737684
373.12282526684146,375.3300211183667
382.30237051164613,375.37589183805926
373.907188939816,375.3662924727113
394.5121086758543,375.49061595454987
370.79468247376246,375.4603196095125
372.4113875652108,375.4407751733311
375.444421531191,375.4407983985404
383.7883058300124,375.493630724056
374.04818877107505,375.4845398941631
373.41251760381897,375.4715897548484
375.91469552507726,375.4743419646014
372.59229148173927,375.456551529522
371.7282109111069,375.43367827419434
371.9151099978668,375.4122235895826
366.63490492237054,375.3590277188722
374.8722219430292,375.3560951539575
383.71385575697434,375.40614162463424
373.1009565057619,375.39242028464093
365.5557390759079,375.3342150703881
402.6548390413386,375.4949246231584
375.6975856352018,375.49610977527556
376.40453458546233,375.5013913148697
374.7966994231317,375.4973179513336
367.68275296270554,375.4524066582955
376.0984323508395,375.4560982336815
367.0545383095016,375.40836209774864
374.4554047328585,375.402978157834
373.8004782364692,375.393975349287
380.4578221379305,375.422264996151
376.9689905048522,375.4308579156438
378.91250515347565,375.4500935357423
384.93173966248094,375.50219049248267
373.456875408305,375.49101390732324
370.8839418479902,375.46597547221813
375.3738554168449,375.46547752597286
371.3150459877851,375.44316337791804
379.1913866364148,375.46320735256245
372.0347017176207,375.4449706204617
370.69752694237616,375.4198518708422
371.6968513472548,375.40025713124436
373.6780735521422,375.39124046329096
375.8687641929432,375.39372756604956
374.00471300043046,375.38653059938827
376.63967162299764,375.3929900892007
373.7747539381231,375.38469144227207
368.66119675962943,375.35038789797284
371.23314044429674,375.3294881647055
368.80252600834183,375.29652370937026
372.61052799345725,375.28302624346117
373.6203646241968,375.2747129353648
377.3913598552342,375.2852435170557
369.90184991257047,375.25859305366714
386.5299952377313,375.31411720235707
369.9380814680583,375.2877640860125
377.4329541492864,375.2982284277846
372.0740473877174,375.2825770635124
375.063782522859,375.2815200850552
376.15344890338656,375.2857120505279
377.6651101011571,375.29709673019596
376.1833892031417,375.3013171705433
373.9562803204881,375.29494258831556
386.1539701227538,375.3461644163082
376.2192503950072,375.3502634115134
378.9995747811456,375.3673162683809
369.5679678453729,375.3403425547855
373.57424757258525,375.3321661891271
375.8122464917344,375.3343785407521
373.3130138078669,375.3251062254636
371.1279695351287,375.3059412177452
372.80197374982504,375.29455954743645
375.52567102970056,375.29560530074986
372.1825237067444,375.2815824106867
371.0859771357284,375.2627680372565
370.3405384759145,375.24079379814333
370.09934444831197,375.2179429121441
378.0464227654172,375.23045830972495
379.1934858932634,375.24791658101805
378.6958207000382,375.263038967505
376.90771378619957,375.27022095361286
378.85522945828586,375.2858079471115
375.88933481131335,375.2884206175193
370.0412448603406,375.26580348063493
371.27964056175256,375.24869548527494
375.41096441385866,375.24938894223465
380.0468577932527,375.2698037033028
380.1315369089982,375.2904042677337
371.8989613176208,375.2760943818683
372.8107339615917,375.26573572464025
378.19875311852206,375.2780077639452
370.77520103229074,375.25924606922996
372.60932591505025,375.248250549918
372.3822612950819,375.23640761911287
375.22007279289676,375.23634039760583
369.480043379142,375.2127490163826
380.01099060772765,375.2323336759391
373.4536924723009,375.22510342714384
375.2157519039032,375.22506556672585
374.8898367614747,375.22371383767245
370.5716650752461,375.2050309109157
372.6384959684178,375.1947647711457
368.4381201467975,375.16784586825986
386.3704673590738,375.21230071544556
378.3103002351203,375.22454577283565
376.70040437630075,375.2303562397784
382.8969868746309,375.2604214579543
373.50415839266134,375.25356105535553
369.8290380754099,375.23245396204834
368.97032231861226,375.20818213397297
375.5867362773089,375.209643732982
378.8507331567175,375.2236479230733
374.92525546008505,375.2225046569316
368.73389449881756,375.1977389693052
369.83885310478774,375.1773629774249
376.4946507121582,375.18235270369286
367.58567875578353,375.1536860095498
373.82103555762,375.1486760454448
376.8349010789375,375.1549914950084
374.3531599465804,375.1519995862456
391.3816716065377,375.2123329394809
372.8311705586118,375.20351381955174
370.3043288980691,375.18543564640976
374.91399315511956,375.1844376960741
375.48996046001264,375.1855568270775
367.5607334529798,375.1577290045443
372.90199334397664,375.149526329415
383.54649874706524,375.1799501425224
374.56629506023023,375.17773478121444
379.4208556799409,375.19299780603
381.2492335380093,375.21470474413746
368.0747236121142,375.1892048115231
374.8268010046453,375.18791511826015
370.459598636648,375.17114803853815
375.3007421383129,375.1716059682193
396.334160822012,375.24612200643685
378.7370504302048,375.25837087809924
375.3872272209353,375.2588214247525
378.68325473391326,375.2707532481294
378.132717936104,375.2806906255182
369.46802370237185,375.2605775911821
367.62953242425226,375.2342636423306
374.24378892151924,375.2308599491319
373.3441068239533,375.2243984658265
379.76930148965175,375.2399100802423
377.9602723251346,375.249163013048
375.50805862669336,375.2500406252977
372.77119515843856,375.24166614736913
373.67478014408425,375.2363904369203
370.74372504761186,375.22131437856694
376.9546011627193,375.22711132433335
372.11960488036596,375.21675296952014
375.2326929364731,375.21680592622096
376.92688087272586,375.2224684260438
378.7285651866373,375.2340397024814
378.20634924529054,375.2438170365038
385.88205875837366,375.2786965175591
378.3192058091456,375.2886328224336
371.0147603588981,375.27471141375764
369.09109268423856,375.25463472957085
376.1713211542077,375.25760135230433
380.833324179122,375.2755875549715
380.8708728613369,375.2935788260531
381.9248835284004,375.3148330077913
370.53627619287886,375.2995660531111
377.3328911278736,375.3060416106741
377.2592874055091,375.31224239097514
382.13626884020186,375.3338374113841
370.22998593438183,375.31773693353864
369.7137415018691,375.300114306395
382.2809080760728,375.3219976724442
371.52886172095543,375.3101441225958
375.6775962601869,375.3112888333048
372.0818861716715,375.30125963249225
381.5760802127338,375.32068632159513
372.7714997086798,375.3128184616787
376.396356385997,375.3161524245228
371.85164590645434,375.3055251039152
376.11370427996303,375.30799659986644
377.69920719331947,375.315286876066
372.2677332603647,375.3060237951672
374.66033750697795,375.3040671700515
372.73380402605403,375.29630202460135
377.4364141709585,375.3027481455241
373.7293768789184,375.2980233068857
375.0892024268296,375.2973980946699
374.02852807047907,375.2936104229559
385.2712952866699,375.32330591362177
373.65117641820245,375.31834410503
376.0452524531685,375.3204947214446
380.28107661519425,375.33512770638197
373.7871243234637,375.3305747552557
384.34733616350206,375.3570168708224
374.91483151959915,375.35572393119895
373.01228747911205,375.3488917549538
372.9846281211778,375.3420188955533
371.5071733004527,375.33090340107475
379.76251602985974,375.3437115300597
381.64006199332914,375.36185663225933
375.28287540877864,375.3616296747206
373.41004648328465,375.3560377458053
369.585774908096,375.33955128055476
372.07237413790256,375.3302430835671
371.09353450604146,375.3182069796537
370.1874072762131,375.3036721363012
379.9495821616921,375.31679617592096
371.4855113687755,375.30600382435154
370.8730475851411,375.2935517000841
377.1500548291275,375.298751988961
372.47461483134407,375.29086333768277
385.0040518692465,375.3179195731467
371.4028192944089,375.3070442945946
368.6275877104673,375.2885416447771
377.1246354912346,375.2936137272259
369.74881317412064,375.2783387945727
371.9712073173089,375.26925326853626
366.35181339080134,375.24482192640545
380.1557056064345,375.2582396413782
373.1263902434787,375.252430787433
374.69495314369544,375.2509159025315
370.9734873861031,375.2393239553325
368.42966567094777,375.2209194734828
372.60172490799505,375.2138596498561
371.46284267525175,375.2037762708921
376.04136323235014,375.20602181234375
377.07897472506465,375.2110297078323
375.48485463697625,375.2117599076434
376.86646478715204,375.2161607184932
