diff,mean
1358.7733239925478,1358.7733239925478
1353.9413555504802,1356.357339771514
1355.6577482100088,1356.1241425843457
1355.1168340246243,1355.8723154444153
1349.5068554112167,1354.5992234377757
1351.8142430558444,1354.135060040787
1354.624533448269,1354.2049848132845
1352.0894872979775,1353.940547623871
1352.1576796054267,1353.7424511773772
1361.5265644313731,1354.5208625027767
1354.0484094868002,1354.4779122285972
1350.8662303333326,1354.1769387373251
1349.4703574164146,1353.814894020332
1353.6271228334854,1353.8014817927
1359.9086858407834,1354.208628729239
1360.8610422114216,1354.6244045718754
1356.6412915753972,1354.7430449838473
1354.3633428757792,1354.7219504222878
1355.3507937094864,1354.7550474374036
1355.3623923005766,1354.7854146805623
1347.4603068910567,1354.4366000239193
1350.4241556570423,1354.2542161890613
1358.296627136146,1354.4299731867607
1361.0200482677744,1354.7045596484695
1353.9047280019286,1354.672566382608
1351.9516326424605,1354.56791508491
1359.8180773073825,1354.7623655375942
1353.703210178759,1354.724538560493
1354.8062352288666,1354.7273556869889
1348.594231304679,1354.5229182075784
1349.5719240587691,1354.3632087189073
1354.4182737060669,1354.364929499756
1355.7437657695368,1354.406712417022
1354.6339060759572,1354.4133945834612
1359.5086245208918,1354.5589725816737
1359.804313128503,1354.7046764857523
1357.5941923460475,1354.7827715090034
1355.5877517987474,1354.8039552008388
1345.5694450564345,1354.5671728894438
1357.383890292996,1354.6375908245325
1357.1313477532606,1354.6984141642577
1356.876181703548,1354.750265772336
1350.5790907369983,1354.6532617017467
1363.9751983975075,1354.8651238993775
1351.0874672010495,1354.781175972748
1354.5141582086253,1354.7753712387453
1356.41014575993,1354.8101536753663
1355.2200059232484,1354.8186922638638
1350.2931546435557,1354.7263343532452
1354.6973091669274,1354.7257538495187
1347.8111065812143,1354.5901725305323
1348.9114037594095,1354.48096543878
1354.6249210684077,1354.483681582735
1357.346556397044,1354.536697783
1354.112972774134,1354.5289936919296
1359.9929018303105,1354.626563480115
1350.675113841534,1354.557239802245
1363.4495022722508,1354.7105546724176
1349.04599495306,1354.614545185649
1344.8491581649446,1354.4517887353038
1355.005460691753,1354.460865324754
1349.458728360347,1354.3801856962957
