Logf,LogLaplaceCovariance,GI
-1176.9443812572772,-1273.6576347789933,5.0
-1183.3701169740018,-1274.357844867399,6.0
-1179.6908515466498,-1268.5295857522754,6.5
-1166.8188834484736,-1254.5904873007814,7.0
-1160.5379880321746,-1245.260524465689,8.0
